STATE,REPORTDATE,cases,deaths,MMWRyear,MMWRweek,MMWRday
Missouri,3/7/20,0,0,2020,10,7
Mississippi,3/7/20,0,0,2020,10,7
Montana,3/7/20,0,0,2020,10,7
North Carolina,3/7/20,0,0,2020,10,7
North Dakota,3/7/20,0,0,2020,10,7
Nebraska,3/7/20,0,0,2020,10,7
New Hampshire,3/7/20,0,0,2020,10,7
New Jersey,3/7/20,0,0,2020,10,7
New Mexico,3/7/20,0,0,2020,10,7
Nevada,3/7/20,0,0,2020,10,7
New York,3/7/20,35,0,2020,10,7
Ohio,3/7/20,0,0,2020,10,7
Oklahoma,3/7/20,0,0,2020,10,7
Oregon,3/7/20,5,0,2020,10,7
Pennsylvania,3/7/20,2,0,2020,10,7
Rhode Island,3/7/20,0,0,2020,10,7
South Carolina,3/7/20,2,0,2020,10,7
South Dakota,3/7/20,0,0,2020,10,7
Tennessee,3/7/20,0,0,2020,10,7
Texas,3/7/20,0,0,2020,10,7
Utah,3/7/20,1,0,2020,10,7
Virginia,3/7/20,1,0,2020,10,7
Vermont,3/7/20,0,0,2020,10,7
Washington,3/7/20,78,6,2020,10,7
Wisconsin,3/7/20,0,0,2020,10,7
West Virginia,3/7/20,0,0,2020,10,7
Wyoming,3/7/20,0,0,2020,10,7
Guam,3/7/20,,,2020,10,7
Puerto Rico,3/7/20,,,2020,10,7
Virgin Islands,3/7/20,,,2020,10,7
Alaska,3/8/20,0,0,2020,11,1
Alabama,3/8/20,0,0,2020,11,1
Arkansas,3/8/20,,,2020,11,1
Arizona,3/8/20,0,0,2020,11,1
California,3/8/20,33,0,2020,11,1
Colorado,3/8/20,0,0,2020,11,1
Connecticut,3/8/20,0,0,2020,11,1
District of Columbia,3/8/20,0,0,2020,11,1
Delaware,3/8/20,0,0,2020,11,1
Florida,3/8/20,1,0,2020,11,1
Georgia,3/8/20,6,0,2020,11,1
Hawaii,3/8/20,0,0,2020,11,1
Iowa,3/8/20,3,0,2020,11,1
Idaho,3/8/20,0,0,2020,11,1
Illinois,3/8/20,0,0,2020,11,1
Indiana,3/8/20,3,0,2020,11,1
Kansas,3/8/20,0,0,2020,11,1
Kentucky,3/8/20,3,0,2020,11,1
Louisiana,3/8/20,0,0,2020,11,1
Massachusetts,3/8/20,24,0,2020,11,1
Maryland,3/8/20,2,0,2020,11,1
Maine,3/8/20,0,0,2020,11,1
Michigan,3/8/20,0,0,2020,11,1
Minnesota,3/8/20,1,0,2020,11,1
Missouri,3/8/20,0,0,2020,11,1
Mississippi,3/8/20,0,0,2020,11,1
Montana,3/8/20,0,0,2020,11,1
North Carolina,3/8/20,0,0,2020,11,1
North Dakota,3/8/20,0,0,2020,11,1
Nebraska,3/8/20,2,0,2020,11,1
New Hampshire,3/8/20,0,0,2020,11,1
New Jersey,3/8/20,2,0,2020,11,1
New Mexico,3/8/20,0,0,2020,11,1
Nevada,3/8/20,1,0,2020,11,1
New York,3/8/20,28,0,2020,11,1
Ohio,3/8/20,0,0,2020,11,1
Oklahoma,3/8/20,0,0,2020,11,1
Oregon,3/8/20,1,0,2020,11,1
Pennsylvania,3/8/20,2,0,2020,11,1
Rhode Island,3/8/20,0,0,2020,11,1
South Carolina,3/8/20,2,0,2020,11,1
South Dakota,3/8/20,0,0,2020,11,1
Tennessee,3/8/20,2,0,2020,11,1
Texas,3/8/20,0,0,2020,11,1
Utah,3/8/20,0,0,2020,11,1
Virginia,3/8/20,1,0,2020,11,1
Vermont,3/8/20,1,0,2020,11,1
Washington,3/8/20,96,10,2020,11,1
Wisconsin,3/8/20,0,0,2020,11,1
West Virginia,3/8/20,0,0,2020,11,1
Wyoming,3/8/20,0,0,2020,11,1
Guam,3/8/20,,,2020,11,1
Puerto Rico,3/8/20,,,2020,11,1
Virgin Islands,3/8/20,,,2020,11,1
Alaska,3/9/20,0,0,2020,11,2
Alabama,3/9/20,0,0,2020,11,2
